id,handle,inventory_total,inventory_cpt,inventory_jhb,name,variant_parent_id,has_variants,source_id,variant_source_id,tags,price
00064cdb-3639-afa5-45ef-6593edd27c46,StokkeScootRacingKit,0,0,0,Stokke Scoot Racing Kit / Racing green,,true,,,"other prams & stroller accessories, prams & strollers",1956.52174
000fcd5f-2cb6-9414-1696-8ad1b39d81c0,TOYJELLYCAT,0,0,0,Jelly Cat Bunny Really Big / Beige,02dcd191-ae62-11e6-f485-4cbc70bb69ab,false,,,"soft toys, Not On Shopify, FX_recent_sale",1995.65217
00214e14-9c41-7412-9ae6-1a41e64eaf60,AdenAnaisSwaddleClassic4pack,1,1,0,Aden + Anais Swaddle Classic 4pack / Seafaring,d2c5fc8b-7cf2-178d-c6b4-5e316464fa07,false,3684651401276,28585808592956,"muslins, FX_recent_sale",955.65217
0021cc3c-ec46-56aa-f398-2bed690899b5,cozynestdreamydots,0,0,0,Cozy Nest Dreamy Dots / Blue,5eaa9af8-f584-d473-9006-5b3bc0f772e0,false,3749390549052,28893699211324,"co sleepers, new, Baby nests , done by deer",1647.82609
003f99c6-6a51-89a6-a51a-5472c6392d85,bugaboofoxsetofrearwheels,0,0,0,Bugaboo Fox Set Of  Rear Wheels,,false,,,,2169.56522
00417dde-88ef-4ece-e0cd-f0d115a8581b,childhometeddystoragebasket40x40x40cm,3,0,3,Childhome Teddy Storage Basket 40x40x40cm- Beige,,false,6070259253423,37507415802031,"Childhome, Babyroom decor, storage baskets, storage, FX_recent_sale",486.08696
00438709-ae66-a933-ea24-e37648418b65,bambamhatiamagirl,1,0,1,Bam Bam Hat ' I am a girl',,false,,,"Not On Shopify, hat",146.95652
004ea311-b52e-7982-6b05-5d418c1cc460,ldactivitybookletlittlegoose,14,0,5,LD Activity Booklet Little Goose,,false,6552827003055,39320050696367,"toys, soft toys, Little Dutch",277.3913
0052ad43-39eb-33b7-1ca8-50cb22933fd0,ruglion,10,0,0,Rug Lion 100 x 100,,false,4585238364220,32300276416572,"decor, Babyroom decor, kidsroom decor, rugs & mats, rugs & carpets, FX_recent_sale, FX_incoming_stock, FX_incoming_count__10, FX_incoming_name__MARCH CONTAINER",913.04348
005cbaba-418b-7b12-a13e-ec3e9e80faf5,HappyHorseRabbitRitchieTuttle,0,0,0,Happy Horse Rabbit Ritchie Tuttle / Lagoon,,true,,,"soft toys, plush toys",138.26087
00601826-6e3b-d1e6-558a-97bfc31fa30a,cushionblock30x50green,0,0,0,Cushion block 30 x50 green,,false,,,FX_recent_sale,390.43478
00634ae9-4ea0-68c6-588d-a3c98ce86faa,beanbagrib,0,0,0,Jollein Bean Bag / Mellow Pink,57b3f08b-f440-d5ae-a32f-2b10bdaa89e3,false,4342975463484,32518918504508,"gifts, kiddies tables & chairs, new, FX_recent_sale",1025.21739
007cbb3c-493e-eaeb-ad2f-78dc4c717e21,mirrorsunnybamboo40cm,10,2,0,Mirror Sunny Bamboo 40 cm / White,1104a6d0-5c4d-00df-f804-76b444ca08cf,false,3684636819516,28585672572988,"decor, mirrors, just-arrived, FX_incoming_stock, FX_incoming_count__8, FX_incoming_name__MARCH CONTAINER, wall decor, Kids Depot",277.3913
007e0bcd-c722-78a2-ae4d-65bb50e2ee46,kderic-elephantcarpet90x140cm,3,1,2,KD Eric- Elephant Carpet 90x140cm,,false,4393564373052,31443167313980,"rugs & mats, rugs & carpets, Kids Depot",1216.52174
008860e9-6618-dc40-29b1-32467be681fa,stokkestepspromotion,0,0,0,Stokke Steps Promotion / Storm Grey / Aqua Mountain / White,8ba979cf-de37-1ac7-0949-bbf59c4bd6ff,false,,,"high chairs, Stokke Steps, Stokke",5562.6087
009dbc9a-855d-ae2d-a8bb-f264e889d9f7,FlatSheetLoveYou120x150,6,4,2,"Flat Sheet 'Love You"" 120 x150 / Nougat",0a4735cc-4962-11e7-fc9e-c53dd70cccb2,false,6039703421103,37389966311599,"linen, sheets & fitted sheets, Jollein, FX_recent_sale",326.08696
00a56eb4-aed4-8cb7-e2be-a666d100cbe4,babybjornbouncerbliss,-3,-3,0,BabyBjörn Bouncer Bliss Cotton / Beige Leopard,02dcd191-ae62-11e6-edd8-ed0e7449ded8,false,9129100818,38078890737839,"bouncers, BabyBjorn, Baby Bjorn, just-arrived, FX_recent_sale, FX_incoming_stock, FX_incoming_count__21, Sell JHB",4343.47826
00aeae2b-280e-2e3e-fbaf-bc2b85f66e91,duvetcover100x135dots,0,0,0,Duvet Cover 100 x 135 Dots,,false,4430746517564_unpub,31658839572540_unpub,"duvet sets, baby duvet sets",517.3913
00b7e364-8cb6-4a37-85e6-754f665ceef7,adenanaissilkysoftswaddles,1,1,0,Aden + Anais Swaddle Bamboo 3 pack / Diwali,02dcd191-ae62-11e6-edd8-f1f44b36f19e,false,3684870324284,28586599383100,"linen, gifts, swaddle blankets, muslins, popular brands, Aden & Anais, FX_recent_sale",868.69565
00c28dce-55b3-32f0-acf3-72b7845c9988,gbcot2go,1,1,0,GB Cot 2 Go,,false,,,Not On Shopify,1999.9913
00fbaa02-c613-73b0-2b88-d807a4d3b707,jellycatshooshumonkeysoother,0,0,0,Jelly Cat Shooshu Soother / Monkey,,true,,,Not On Shopify,400
010957d7-409b-a095-c392-01c338b85b6e,BasleMediumLuma,2,1,1,Basket Luma Medium / Paper Boats,02dcd191-ae62-11e7-f130-5aa2549e270d,false,10424723986,9461722841148,"storage baskets, bathing, textiles & accessories, FX_recent_sale",364.34783
01159a2a-3871-7f77-5612-f9873830edc0,BabyBjrnBlissCoverforBouncer,0,0,0,BabyBjorn Bouncer Cover Bliss Cotton / Soft Cotton Grey/Grey,da4e3ede-d191-bbe4-898d-508b716408be,false,6107557724335,37668889591983,"BabyBjorn, More, addon-collection BabyBjorn Bouncer, FX_recent_sale, FX_incoming_stock, FX_incoming_count__2, FX_incoming_name__MARCH CONTAINER",1607.82609
0124416a-a9fe-645b-1b35-16a3a656710d,camcamrattlepeacock,1,0,1,CamCam Rattle Peacock / Cream White,7baed81c-cf87-97db-0459-449020725557,false,,,"toys, soft toys, FX_recent_sale, CamCam",260
0124484d-e9d3-862a-f181-58d4cab80cdc,MCPEBBLEPLUS,0,0,0,Maxi-Cosi Pebble Plus / Black Raven,02dcd191-ae62-11e6-edd8-f9b4a322dc98,false,10210862482,32152366743612,"Maxi Cosi, Not On Shopify, FX_recent_sale",3738.26087
013b8afc-ddc4-6efe-8f9b-fdec107219b7,mimaovidiaperbag,0,0,0,Mima Trendy Diaper Bag / Black,,true,,,"kiddies bags, new, other prams & stroller accessories, More, Mima, travel, FX_recent_sale",2173.04348
013f3b4e-5b89-f210-6c4b-160f9d741d08,jolleinlongsleeveshirtpantssetlama,0,0,0,Jollein Long Sleeve Shirt/Pants Set Lama / Blush Pink / 74/80,,true,,,,277.3913
